date,site,replicate,concentration
9/27/2018,s2,a,0.034
9/27/2018,s2,b,0.035
9/27/2018,s2,c,0.032
9/27/2018,s3,a,0.109
9/27/2018,s3,b,0.098
9/27/2018,s3,c,0.094
9/27/2018,s4,a,0.04
9/27/2018,s4,b,0.04
9/27/2018,s4,c,0.04
9/27/2018,s5,a,0.057
9/27/2018,s5,b,0.058
9/27/2018,s5,c,0.066
9/27/2018,s6,a,0.161
9/27/2018,s6,b,0.167
9/27/2018,s6,c,0.176
9/27/2018,s7,a,0.152
9/27/2018,s7,b,0.161
9/27/2018,s7,c,0.137
9/27/2018,s8,a,0.112
9/27/2018,s8,b,0.109
9/27/2018,s8,c,0.116
9/27/2018,s9,a,0.005
9/27/2018,s9,b,0.004
9/27/2018,s9,c,0.005
9/27/2018,s10,a,0.005
9/27/2018,s10,b,0.005
9/27/2018,s10,c,0.005
9/27/2018,s11,a,0.005
9/27/2018,s11,b,0.004
9/27/2018,s11,c,0.004
9/27/2018,s12,a,0.007
9/27/2018,s12,b,0.007
9/27/2018,s12,c,0.008
9/27/2018,s13,a,0.004
9/27/2018,s13,b,0.003
9/27/2018,s13,c,0.003
10/11/2018,s1,a,0.032
10/11/2018,s1,b,0.032
10/11/2018,s1,c,0.032
10/11/2018,s2,a,0.026
10/11/2018,s2,b,0.024
10/11/2018,s2,c,0.024
10/11/2018,s3,a,0.071
10/11/2018,s3,b,0.066
10/11/2018,s3,c,0.078
10/11/2018,s4,a,0.051
10/11/2018,s4,b,0.051
10/11/2018,s4,c,0.058
10/11/2018,s5,a,0.074
10/11/2018,s5,b,0.077
10/11/2018,s5,c,0.074
10/11/2018,s6,a,0.127
10/11/2018,s6,b,0.116
10/11/2018,s6,c,0.108
10/11/2018,s7,a,0.148
10/11/2018,s7,b,0.124
10/11/2018,s7,c,0.143
10/11/2018,s8,a,0.137
10/11/2018,s8,b,0.123
10/11/2018,s8,c,0.117
10/11/2018,s9,a,0.053
10/11/2018,s9,b,0.055
10/11/2018,s9,c,0.055
10/11/2018,s10,a,0.018
10/11/2018,s10,b,0.016
10/11/2018,s10,c,0.012
10/11/2018,s11,a,0.013
10/11/2018,s11,b,0.007
10/11/2018,s11,c,0.012
10/11/2018,s12,a,0.015
10/11/2018,s12,b,0.013
10/11/2018,s12,c,0.015
10/11/2018,s13,a,0.005
10/11/2018,s13,b,0.005
10/11/2018,s13,c,0.005
11/2/2018,s1,a,0.026
11/2/2018,s1,b,0.023
11/2/2018,s1,c,0.024
11/2/2018,s2,a,0.007
11/2/2018,s2,b,0.004
11/2/2018,s2,c,0.005
11/2/2018,s3,a,0.058
11/2/2018,s3,b,0.054
11/2/2018,s3,c,0.058
